Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
1,平安银行,1991/4/3,10,平安银行股份有限公司,"Ping An Bank Co., Ltd.",1,金融,I01,银行业,J66,货币金融服务,1987/12/22,广东省,440000,深圳市,440300,私营企业,P0306,1991/4/3,CNY,20,40,CNY,350,CNY,1989/3/10,20,2,A,,2023/4/27,,4
2,万科A,1991/1/29,10,万科企业股份有限公司,"China Vanke Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1988/11/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/1/29,CNY,0,1,CNY,28000,CNY,1988/12/28,1,2,A,,2023/4/27,2202,4
3,PT 金田A,1991/7/3,10,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co., Ltd.",4,综合,M,综合类,S90,综合,1988/2/8,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/7/3,CNY,9,10,CNY,452,CNY,1989/2/28,1,2,D,,2002/6/14,,4
4,国华网安,1991/1/14,10,深圳国华网安科技股份有限公司,"Shenzhen Cau Technology Co., Ltd.",2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,1986/5/5,广东省,440000,深圳市,440300,私营企业,P0306,1991/1/14,CNY,0,1,CNY,12500,CNY,1989/12/23,1,2,A,,2023/6/28,,4
5,ST 星源,1990/12/10,10,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,1990/2/1,广东省,440000,深圳市,440300,中外合资,P0303,1990/12/10,CNY,9,10,CNY,44339,CNY,1990/3/3,1,2,A,,2023/4/27,,4
6,深振业A,1992/4/27,10,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye (Group) Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1989/4/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/4/27,CNY,9,10,CNY,690,CNY,1989/8/1,1,2,A,,2023/4/27,,4
7,*ST 全新,1992/4/13,10,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1988/11/21,广东省,440000,深圳市,440300,私营企业,P0306,1992/4/13,CNY,0,1,CNY,8400,CNY,1988/12/1,1,2,A,,2023/5/5,,4
8,神州高铁,1992/5/7,10,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1989/10/11,北京市,110000,北京市,110000,私营企业,P0306,1992/5/7,CNY,9,10,CNY,1000,CNY,1989/10/1,1,2,A,,2023/4/27,,4
9,中国宝安,1991/6/25,10,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",4,综合,M,综合类,S90,综合,1990/9/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/6/25,CNY,2,3,CNY,60000,CNY,1991/6/14,1,2,A,,2023/4/27,,4
10,美丽生态,1995/10/27,10,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co., Ltd.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,1988/12/13,广东省,440000,深圳市,440300,私营企业,P0306,1995/10/27,CNY,0,1,CNY,16999,CNY,1993/6/1,1,2,A,,2023/4/27,,4
